NAZWA,KATEGORIA
Hemoclin Żel - - 37 g,Hemoroidy maść
Hemoclin Żel - - 45 ml,Hemoroidy maść
Hemoclin Żel - - 45 ml,Hemoroidy maść
Hemorex Sztyft na hemoroidy - - 1 szt.,Hemoroidy maść
Hemoro Żel SwissMedicus - - 200 ml,Hemoroidy maść
Hemoroidal (Neo-Aesculan) żel doodbyt. (50mg+5mg)/g 30 g,Hemoroidy maść
HIMALAYA Pilex maść - - 30 g,Hemoroidy maść
Kora dębu z rokitnikiem HEMOFIT żel - 100 ml,Hemoroidy maść
Neo Fitoroid maść doodbyt. - 40 ml (tub.),Hemoroidy maść
Neo-Aesculan żel - 30 g,Hemoroidy maść
NeoFitoroid zestaw ( biomaść +płyn ) - - 40 ml + 100 ml,Hemoroidy maść
"Posterisan maść doodbyt. 166,7 mg 25 g",Hemoroidy maść
Proctinum Emulsja - - 30 ml,Hemoroidy maść
Procto-eze - - 30 ml,Hemoroidy maść
"Procto-Glyvenol krem doodbyt. (0,05g+0,02g)/g 30 g",Hemoroidy maść
"Procto-Glyvenol krem doodbyt. (0,05g+0,02g)/g 30 g (tuba)",Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 1 tub. po 30 g,Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g,Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub. Alu),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Glyvenol krem doodbyt. (50mg+20mg)/g 30 g (tub.),Hemoroidy maść
Procto-Hemolan krem doodbyt. (50mg+20mg)/g 20 g,Hemoroidy maść
Procto-zac żel proktologiczny - - 30 ml,Hemoroidy maść
Proctocomfort maść - 25 g,Hemoroidy maść
Proctomina Maść na hemoroidy - - 20 g,Hemoroidy maść
Proctomina Żel chłodzący na hemoroidy - - 30 g,Hemoroidy maść
Proctoulgin maść doodbyt. - 30 ml (tub. karton),Hemoroidy maść
PRODERMA PICHTOWY PROOIL Krem a/bakt.c/m.i tł. - - 75 ml,Hemoroidy maść
Proktis-M maść doodbyt. - 30 g,Hemoroidy maść
Proktis-M PLUS maść doodbyt. - 30 g,Hemoroidy maść
Proktosanol Maść p/hemoroidom maść doodbyt. - 40 g (tub.),Hemoroidy maść
Proktosedon maść doodbyt. (5mg+10mg+5mg+10mg)/ 15 g,Hemoroidy maść
PRORECTAL Emulsja - - 30 ml,Hemoroidy maść
ProRectal żel ochr-regen.do piel.okol.odbytu - - 50 ml,Hemoroidy maść
Rectostop maść maść - 50 ml (tuba),Hemoroidy maść
RECTOSTOP PLUS Maść - - 50 g,Hemoroidy maść
RECTOSTOP ULTRA maść - 50 ml,Hemoroidy maść
Rectostop Ultra Plus MAŚĆ - - 50 g,Hemoroidy maść
Ruskorex maść (10mg+10mg)/g 40 g (tub.),Hemoroidy maść
Aescin tabl.dojelit. 20 mg 30 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 30 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 30 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 30 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 30 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.dojelit. 20 mg 90 tabl.,Nogi tabletki - żel
Aescin tabl.powl. 20 mg 30 tabl. (1 blist. po 30 tabl.),Nogi tabletki - żel
Aescin tabl.powl. 20 mg 90 tabl. (3 blist. po 30 tabl.),Nogi tabletki - żel
Aesciner Retard kaps.o przedł.uwaln. 50 mg glikozydów 30 kaps.,Nogi tabletki - żel
Aesciner Retard kaps.o przedł.uwaln. 50 mg glikozydów 60 kaps.,Nogi tabletki - żel
Aflavic Comfort tabl.powl. 600 mg 30 tabl. (3 blist. po 10 tabl.),Nogi tabletki - żel
Aflavic Comfort tabl.powl. 600 mg 30 tabl. (poj.),Nogi tabletki - żel
Aflavic Max tabl. 1 g 30 tabl. (blist. Alu/PVC/PVDC),Nogi tabletki - żel
Aflavic Max tabl. 1 g 60 tabl. (blist. Alu/PVC/PVDC),Nogi tabletki - żel
Aliness Diosmina Mikronizowana PLUS 500 mg,Nogi tabletki - żel
Allnutrition Diosminall kaps. - 60 kaps.,Nogi tabletki - żel
Butcher's Broom (Ruszczyk Kolczasty) kaps. 470 mg 100 kaps.,Nogi tabletki - żel
Circo3System kaps. - 30 kaps.,Nogi tabletki - żel
Circo3System tabl. - 30 tabl.,Nogi tabletki - żel
"Cyclo 3 Fort kaps.twarde 0,15g+0,15g+0,1g 30 kaps.",Nogi tabletki - żel
"Cyclo 3 Fort kaps.twarde 0,15g+0,15g+0,1g 30 kaps.",Nogi tabletki - żel
"Cyclo 3 Fort kaps.twarde 0,15g+0,15g+0,1g 60 kaps.",Nogi tabletki - żel
"Cyclo 3 Fort kaps.twarde 0,15g+0,15g+0,1g 60 kaps.",Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 30 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 60 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 60 kaps.,Nogi tabletki - żel
Cyclo 3 Fort kaps.twarde 150mg+150mg+100mg 60 kaps.,Nogi tabletki - żel
Cyclo 4 Dios kaps. - 30 kaps.,Nogi tabletki - żel
Cyclo 4 Dios kaps. - 60 kaps.,Nogi tabletki - żel
Cyclo 4 Dios kaps. - 60 kaps.,Nogi tabletki - żel
Cyclo 4 Dios kaps. - 90 kaps.,Nogi tabletki - żel
Cyclo 4 Dios kaps. - 90 kaps.,Nogi tabletki - żel
Cyclo5Max kaps. - 60 kaps.,Nogi tabletki - żel
Cyclo5Max kaps. - 90 kaps.,Nogi tabletki - żel
Cyclodetramax (1x60tab) +CycloDetramax Żel (1x75ml) gratis - - 1 zest.,Nogi tabletki - żel
Cyclodetramax (6x60tab) +CycloDetramax Żel (6x75ml) gratis - - 1 zest.,Nogi tabletki - żel
Cyclodetramax tabl.powl. - 60 tabl. (4 blist.po 15szt.),Nogi tabletki - żel
Cyclofast APTEO kaps. - 60 kaps.,Nogi tabletki - żel
CycloMAX 30 kaps. - 30 kaps.,Nogi tabletki - żel
CycloMAX kaps. - 60 kaps.,Nogi tabletki - żel
Cyclonea + Żel gratis - - 60 tabl. + 50 g,Nogi tabletki - żel
Cyclotriven kaps. - 30 kaps.,Nogi tabletki - żel
Cyclovena kaps.twarde - 30 kaps.,Nogi tabletki - żel
Cyclovena LEK-AM kaps.twarde - 60 kaps.,Nogi tabletki - żel
CycloVenox 3 Extra Activlab Pharma kaps. - 30 kaps.,Nogi tabletki - żel
CycloVenox 3 Extra kaps. - 60 kaps.,Nogi tabletki - żel
Cyklo - complex kaps. - 60 kaps.,Nogi tabletki - żel
Cyklo Med kaps. - 30 kaps.,Nogi tabletki - żel
Detramax Plus tabl.powl. - 30 tabl.,Nogi tabletki - żel
Detramax PLUS tabl.powl. - 60 tabl.,Nogi tabletki - żel
Detramax supl. diety (1x60tabl.) + Detramax Żel (1x75ml) gratis - - 1 zest.,Nogi tabletki - żel
Detramax supl.diet.(6x60tabl) + Detramax Żel (6x75ml) gratis - - 1 zest.,Nogi tabletki - żel
Detramax tabl.powl. - 30 tabl.,Nogi tabletki - żel
Detramax tabl.powl. - 60 tabl.,Nogi tabletki - żel
DIH Cyclo kaps. - 30 kaps.,Nogi tabletki - żel
DIH Cyclo kaps. - 60 kaps.,Nogi tabletki - żel
DIH MAX COMFORT tabl.powl. 1 g 30 tabl.,Nogi tabletki - żel
DIH MAX COMFORT tabl.powl. 1 g 60 tabl.,Nogi tabletki - żel
Dih Max tabl. 1 g 30 tabl.,Nogi tabletki - żel
Dih Max tabl. 1 g 60 tabl.,Nogi tabletki - żel
DIH Skurcz kaps.miękkie - 30 kaps.,Nogi tabletki - żel
DIH Skurcz kaps.miękkie - 60 kaps.,Nogi tabletki - żel
DIH tabl.powl. 500 mg 30 tabl.,Nogi tabletki - żel
DIH tabl.powl. 500 mg 60 tabl.,Nogi tabletki - żel
Diofast kaps. - 60 kaps.,Nogi tabletki - żel
Diohespan forte tabl. 600 mg 30 tabl.,Nogi tabletki - żel
Diohespan Max prosz.doust. 1 g 30 sasz.,Nogi tabletki - żel
Diohespan Max tabl. 1 g 30 tabl.,Nogi tabletki - żel
Diohespan Max tabl. 1 g 60 tabl.,Nogi tabletki - żel
DiosMax tabl.powl. 1 g 30 tabl.,Nogi tabletki - żel
DiosMax tabl.powl. 1 g 60 tabl.,Nogi tabletki - żel
Diosmilegs kaps. - 60 kaps.,Nogi tabletki - żel
DIOSMINA + hesperydyna kaps. - 60 kaps.,Nogi tabletki - żel
Diosmina 500 Complex tabl. - 60 tabl.,Nogi tabletki - żel
Diosmina 500 Complex Zyskaj Zdrowie tabl. - 60 tabl.,Nogi tabletki - żel
Diosmina APTEO z hesperydyną 450 mg + 50 mg kaps. - 60 kaps.,Nogi tabletki - żel
Diosmina Colfarm Max tabl. 1 g 30 tabl.,Nogi tabletki - żel
Diosmina Colfarm Max tabl. 1 g 60 tabl.,Nogi tabletki - żel
Diosmina Colfarm tabl. - 30 tabl.,Nogi tabletki - żel
"Diosmina Max tabl. 0,45 g 60 tabl.",Nogi tabletki - żel
Diosminal kaps. 300 mg 60 kaps. (50+10),Nogi tabletki - żel
Diosminex Max tabl.powl. 1 g 30 tabl.,Nogi tabletki - żel
Diosminex Max tabl.powl. 1 g 60 tabl.,Nogi tabletki - żel
Diosminex tabl.powl. 500 mg 60 tabl.,Nogi tabletki - żel
Diosminex tabl.powl. 500 mg 60 tabl. (4 blist. po 15 tabl.),Nogi tabletki - żel
Diosminex tabl.powl. 500 mg 90 tabl. (6 blist. po 15 tabl.),Nogi tabletki - żel
Diosminum Complex tabl.powl. 500 mg 15 tabl. (blist.),Nogi tabletki - żel
Diosminum Complex tabl.powl. 500 mg 60 tabl. (4 blist. po 15 tabl.),Nogi tabletki - żel
"Diosminum Forte Compositum tabl. 0,5 g 30 tabl.",Nogi tabletki - żel
"Diosminum Forte Compositum tabl. 0,5 g 60 tabl.",Nogi tabletki - żel
Diosmisal tabl. - 60 tabl.,Nogi tabletki - żel
Diosmitrin tabl. - 60 tabl. (2 blist. po 30 tabl.),Nogi tabletki - żel
Diostrin extra tabl. - 60 tabl.,Nogi tabletki - żel
Diostrin tabl. - 30 tabl.,Nogi tabletki - żel
duoVenium tabl. - 60 tabl. (30+30tabl.),Nogi tabletki - żel
Esceven tabl.powl. 167 mg 40 tabl. (2 blist. po 20 tabl.),Nogi tabletki - żel
Esceven tabl.powl. 167 mg 60 tabl.,Nogi tabletki - żel
Escinal kaps. - 90 kaps.,Nogi tabletki - żel
FUSHI Cleavers - 60 kaps.Na obrzęki - cena,Nogi tabletki - żel
Gold3vena tabl. - 60 tabl.,Nogi tabletki - żel
HEEL Aesculus comp. N krop. - 30 ml,Nogi tabletki - żel
HEEL Hamamelis-Homaccord krop.doust. - 30 ml (but.),Nogi tabletki - żel
Hiposem tabl. 340 mg 30 tabl. (poj.),Nogi tabletki - żel
LiotoMax 3 kaps. - 30 kaps.,Nogi tabletki - żel
Lynfase Koncentrat w płynie płyn doust. - 180 g (but. ze szkła barwnego),Nogi tabletki - żel
Maxi3Vena kaps.twarde - 30 kaps.,Nogi tabletki - żel
Maxi3Vena kaps.twarde - 60 kaps.,Nogi tabletki - żel
Maxi3Vena plus kaps. - 30 kaps.,Nogi tabletki - żel
Multiflav tabl. - 30 tabl.,Nogi tabletki - żel
Multiflav tabl. - 60 tabl.,Nogi tabletki - żel
Na Krążenie tabl. - 30 tabl.,Nogi tabletki - żel
neoFitoroid kaps. - 50 kaps.,Nogi tabletki - żel
Niverosin tabl. - 30 tabl.,Nogi tabletki - żel
Olimp Diohesmin tabl. - 30 tabl.,Nogi tabletki - żel
Olimp Venasid kaps. - 30 kaps.,Nogi tabletki - żel
"Otrex 600 tabl. 0,6 g 30 tabl.",Nogi tabletki - żel
Otrex 600 tabl. 600 mg 30 tabl.,Nogi tabletki - żel
Otrex 600 tabl. 600 mg 30 tabl.,Nogi tabletki - żel
Otrex 600 tabl. 600 mg 30 tabl.,Nogi tabletki - żel
Otrex 600 tabl. 600 mg 30 tabl. (2 blist. po 15 tabl.),Nogi tabletki - żel
Panawit Diosmina 500 kaps. - 60 kaps.,Nogi tabletki - żel
Panawit Diosmina 500 kaps. - 60 kaps.,Nogi tabletki - żel
Panawit Zdrowe Nogi Kompleks kaps. - 60 kaps.,Nogi tabletki - żel
Panawit Zdrowe Żyły kaps. - 30 kaps.,Nogi tabletki - żel
Panawit Zdrowe Żyły Plus kaps. - 60 kaps.,Nogi tabletki - żel
Pelethrocin tabl.powl. 500 mg 30 tabl. (2 blist. po 15 tabl.),Nogi tabletki - żel
Phlebodia tabl.powl. 600 mg 30 tabl. (2 blist. po 15 tabl.),Nogi tabletki - żel
Procto-Glyvenol Complex tabl. - 30 tabl.,Nogi tabletki - żel
Procto-Hemolan control tabl. 1 g 20 tabl.,Nogi tabletki - żel
ProDiosmin Optimal kaps. - 30 kaps.,Nogi tabletki - żel
Rectostop tabl. - 30 tabl.,Nogi tabletki - żel
Redblocker tabl. - 30 tabl.,Nogi tabletki - żel
Regu-therm zimne stopy i dłonie tabl. - 30 tabl.,Nogi tabletki - żel
Reparil tabl.dojelit. 20 mg 20 tabl.,Nogi tabletki - żel
Reparil tabl.dojelit. 20 mg 40 tabl.,Nogi tabletki - żel
Reparil tabl.dojelit. 20 mg 40 tabl.,Nogi tabletki - żel
Reparil tabl.dojelit. 20 mg 40 tabl.,Nogi tabletki - żel
Reparil tabl.dojelit. 20 mg 40 tabl.,Nogi tabletki - żel
Reparil tabl.dojelit. 20 mg 40 tabl.,Nogi tabletki - żel
Rodzina Zdrowia Venodrin tabl. - 30 tabl.,Nogi tabletki - żel
Ruscoven Plus kaps. - 50 kaps.,Nogi tabletki - żel
Ruskolina kaps. - 30 kaps.,Nogi tabletki - żel
Ruskolina kaps.twarde - 30 kaps.,Nogi tabletki - żel
Ruskolina Plus kaps. - 30 kaps.,Nogi tabletki - żel
Ruskolina Plus kaps.twarde - 30 kaps.,Nogi tabletki - żel
Ruszczyk kaps. - 30 kaps.,Nogi tabletki - żel
Sapoven T kaps.miękkie 200mg+100mg 48 kaps. (4x12),Nogi tabletki - żel
Solescin tabl. - 30 tabl.,Nogi tabletki - żel
SOLGAR Myszopłoch Kolczasty kaps. - 100 kaps.,Nogi tabletki - żel
SWANSON Butcher's Broom - 100 kaps. 100k,Nogi tabletki - żel
Troxeratio Teva kaps.miękkie 300 mg 50 kaps. (5 blist. po 10 kaps.),Nogi tabletki - żel
Troxerutin Synteza kaps.twarde 200 mg 64 kaps. (4x16 szt),Nogi tabletki - żel
Troxescorbin kaps. 50mg+200mg 20 kaps.,Nogi tabletki - żel
Varivenol kaps. - 30 kaps.,Nogi tabletki - żel
Varivenol Monodosis płyn - 15 sasz.,Nogi tabletki - żel
Varixinal tabl. - 30 tabl.,Nogi tabletki - żel
Varixinal tabl. - 60 tabl.,Nogi tabletki - żel
Varixinal tabl. - 90 tabl.,Nogi tabletki - żel
Venalex kaps. 500 mg 30 kaps.,Nogi tabletki - żel
Venalex kaps. 500 mg 60 kaps.,Nogi tabletki - żel
Venaprotect kaps. - 30 kaps.,Nogi tabletki - żel
"Venescin forte tabl.draż. 0,1g+0,06g 30 tabl. (3 blist. po 10 tabl.)",Nogi tabletki - żel
Venescin forte tabl.draż. 100mg+60mg 30 tabl. (1 blist. po 30 tabl.),Nogi tabletki - żel
Venescin tabl.draż. 25mg+15mg+500mcg 30 tabl.,Nogi tabletki - żel
Veno Farm kaps. - 60 kaps.,Nogi tabletki - żel
Veno3Fort kaps. - 60 kaps.,Nogi tabletki - żel
Venobon kaps. - 30 kaps.,Nogi tabletki - żel
Venobon kaps. - 60 kaps.,Nogi tabletki - żel
Venoczar® tabl.powl. - 60 tabl.,Nogi tabletki - żel
VenoDetramax (1x60tab) +VenoDetramax Żel (1x75ml) gratis - - 1 zest.,Nogi tabletki - żel
VenoDetramax (6x60tab) +VenoDetramax Żel (6x75ml) gratis - - 1 zest.,Nogi tabletki - żel
Venodetramax tabl.powl. - 60 tabl. (4 blist.po 15szt.),Nogi tabletki - żel
Venolan kaps.twarde 300 mg 50 kaps.,Nogi tabletki - żel
Venoruton 300 kaps.twarde 300 mg 50 kaps.,Nogi tabletki - żel
Venoruton 300 kaps.twarde 300 mg 50 kaps.,Nogi tabletki - żel
Venoruton 300 kaps.twarde 300 mg 50 kaps. (5 blist. po 10 kaps.),Nogi tabletki - żel
Venoruton forte tabl. 500 mg 60 tabl.,Nogi tabletki - żel
Venoruton kaps. 300 mg 50 kaps.,Nogi tabletki - żel
VENOSAN caps + VENOSAN fix GRATIS zest. - 60 kaps. (+20 sasz.),Nogi tabletki - żel
Venosan caps kaps. 850 mg 60 kaps.,Nogi tabletki - żel
"Venosan caps Pakiet kaps. 0,85 g 60 kaps. (+15 kaps.gratis)",Nogi tabletki - żel
Venotonin kaps.twarde - 65 kaps. (słoik),Nogi tabletki - żel
Venotrex kaps.twarde 200 mg 64 kaps. (4x16 szt),Nogi tabletki - żel
Venotrex kaps.twarde 300 mg 50 kaps.,Nogi tabletki - żel
Aciclovir Ziaja krem 50 mg/g 5 g (tub.),Opryszczka - odporność
Axoviral krem 50 mg/g 10 g (tub.),Opryszczka - odporność
CELIP duo - krem niesterydowy - - 5 g,Opryszczka - odporność
Endvir Simplex - - 5 ml,Opryszczka - odporność
Erazaban 10% krem 100 mg/g 2 g (tub.),Opryszczka - odporność
Erazaban Protect Ochronny balsam d/ust SPF 50 - - 5 ml,Opryszczka - odporność
Hascovir control Max tabl. 400 mg 30 tabl.,Opryszczka - odporność
Hascovir control Max tabl. 400 mg 60 tabl.,Opryszczka - odporność
Hascovir Control tabl. 200 mg 25 tabl.,Opryszczka - odporność
Hascovir Control tabl. 200 mg 30 tabl.,Opryszczka - odporność
Hascovir LIPOŻEL żel 50 mg/g 3 g,Opryszczka - odporność
Hascovir pro krem 50 mg/g 5 g,Opryszczka - odporność
Herpes Help żel - 4 g (tub.),Opryszczka - odporność
Herpex krem 50 mg/g 2 g,Opryszczka - odporność
Herpex krem 50 mg/g 2 g,Opryszczka - odporność
HeviPoint sztyft 50 mg/g 1 szt.,Opryszczka - odporność
Hevipoint tabl. 200 mg 30 tabl.,Opryszczka - odporność
Heviran Comfort MAX tabl. 400 mg 30 tabl.,Opryszczka - odporność
Heviran Comfort MAX tabl. 400 mg 60 tabl.,Opryszczka - odporność
Heviran Comfort tabl. 200 mg 25 tabl.,Opryszczka - odporność
INVIRUM tabl. 200 mg 30 tabl.,Opryszczka - odporność
Lips Help Maść - - 10 ml,Opryszczka - odporność
"Lips Help Sztyft - - 3,8 g",Opryszczka - odporność
LIPSKIN HELP Maść - - 10 g,Opryszczka - odporność
Oprin Forte tabl.powl. - 15 tabl.,Opryszczka - odporność
Oprin tabl.powl. - 30 tabl.,Opryszczka - odporność
Sonol płyn - 25 ml,Opryszczka - odporność
Sonol płyn do stos.na skór. (21mg+2mg+21mg)/ml 8 g,Opryszczka - odporność
Tonisan H żel - 2 g,Opryszczka - odporność
Virolex krem 50 mg/g 5 g,Opryszczka - odporność
Viru-Merz żel 10 mg/g 2 g,Opryszczka - odporność
"Viru-Pos maść do oczu 30 mg/g 4,5 g",Opryszczka - odporność
Vratizolin krem 30 mg/g 3 g (tub.),Opryszczka - odporność
Zovirax Duo krem (50mg+10mg)/g 2 g (tub.),Opryszczka - odporność
"Zovirax Intensive krem 0,05 g/g 2 g",Opryszczka - odporność
Zovirax Intensive krem 50 mg/g 2 g,Opryszczka - odporność
Zovirax Intensive krem 50 mg/g 2 g,Opryszczka - odporność
Zovirax Intensive krem 50 mg/g 2 g (dyspenser),Opryszczka - odporność
Hascovir control Max tabl. 400 mg 30 tabl.,Opryszczka tabletki - maść
Hascovir control Max tabl. 400 mg 60 tabl.,Opryszczka tabletki - maść
Hascovir Control tabl. 200 mg 25 tabl.,Opryszczka tabletki - maść
Hascovir Control tabl. 200 mg 30 tabl.,Opryszczka tabletki - maść
Hevipoint tabl. 200 mg 30 tabl.,Opryszczka tabletki - maść
Heviran Comfort MAX tabl. 400 mg 30 tabl.,Opryszczka tabletki - maść
Heviran Comfort MAX tabl. 400 mg 60 tabl.,Opryszczka tabletki - maść
Heviran Comfort tabl. 200 mg 25 tabl.,Opryszczka tabletki - maść
INVIRUM tabl. 200 mg 30 tabl.,Opryszczka tabletki - maść
Oprin Forte tabl.powl. - 15 tabl.,Opryszczka tabletki - maść
Oprin tabl.powl. - 30 tabl.,Opryszczka tabletki - maść
4Flex PureGel żel 100 mg/g 100 g,BÓL-STAWY
A-ALPINOL Płyn kasztan.pielęgn.d/skóry - - 100 ml,BÓL-STAWY
A-ALPINOL Płyn pielęgn.d/skóry - - 100 ml,BÓL-STAWY
ACERIN COOL RELAX chłodzący żel na opuchnięte i zmęczone nogi - - 150 ml,BÓL-STAWY
Acerin Cool Relax Żel chłodząco-relaksuj. - - 75 ml,BÓL-STAWY
ActivePlast Thermal Plaster rozgrzewający z arniką i czarcim pazurem - - 1 szt.,BÓL-STAWY
ACTIVPLAST COLD Plaster chłodzący - - 1 szt.,BÓL-STAWY
ACTIVPLAST COLD Plaster chłodzący - - 20 szt.,BÓL-STAWY
ACTIVPLAST TERMO Plaster rozgrzewający - - 10 szt.,BÓL-STAWY
ACTIVPLAST TERMO Plaster rozgrzewający okład - 1 szt.,BÓL-STAWY
Actiżel - - 75 g (tub.),BÓL-STAWY
"Actiżel saszet. - 7,5 g",BÓL-STAWY
Aktywny Żel glukozamina Optimal - - 200 ml (tub.),BÓL-STAWY
ALPA Francówka Konopie roztw. - 160 ml,BÓL-STAWY
ALPA Francówka płyn - 160 ml,BÓL-STAWY
ALPA Francówka płyn - 60 ml,BÓL-STAWY
Alpa Leśna płyn - 160 ml,BÓL-STAWY
Alpa Leśna płyn - 60 ml,BÓL-STAWY
ALPENBALM Balsam z sadła świstaka maść - 60 g,BÓL-STAWY
Alpenbalm Termoterapia balsam - 60 g,BÓL-STAWY
ALPENKRAUTER Balsam ziołowy - - 270 ml,BÓL-STAWY
ALPINE HERBS Żel żywokostowy - - 60 g,BÓL-STAWY
Alta Medic kwaśna woda - żel - - 100 ml,BÓL-STAWY
Altac-Emo żel 10 mg/g 75 g (tub.),BÓL-STAWY
Altacet tabl. 1 g 6 tabl. (1 blist. po 6 tabl.),BÓL-STAWY
Altacet żel 10 mg/g 75 g (tub.),BÓL-STAWY
ALTAGEL Żel - - 125 ml,BÓL-STAWY
Altaminium APTEO z nagietkiem żel - 75 g,BÓL-STAWY
Altaziaja żel 10 mg/g 75 g (tub.),BÓL-STAWY
Altażel Oceanic żel 10 mg/g 75 g (tub.),BÓL-STAWY
ALTER HEIDESCHAFER Maść z arniką - - 250 ml,BÓL-STAWY
ANIDA ACERIN Cool Fresh Spray chłodzn/zmęcz.opuch.nogi spray - 150 ml,BÓL-STAWY
Arcalen maść - 30 g,BÓL-STAWY
Argol Rheuma maść rozgrzewająca maść - 40 g,BÓL-STAWY
Arnica Fast Żel - - 50 g,BÓL-STAWY
Arnigel żel - 45 g (tub. aluminiowa),BÓL-STAWY
Arnigel żel - 45 g (tub. z aplik. roll-on),BÓL-STAWY
Arnithei żel 24 g/100g 100 g,BÓL-STAWY
Arnithei żel 24 g/100g 50 g,BÓL-STAWY
Aroma-Activ maść - 30 g,BÓL-STAWY
Arthemisan J11 krem - 150 ml,BÓL-STAWY
Arthemisan J11 krem - 50 ml,BÓL-STAWY
Arthrostop Ochronny do masażu żel - 100 ml,BÓL-STAWY
Artresan Active Krem pielęgn.-ochronny - - 75 ml,BÓL-STAWY
Artresan Comfort Krem Zmniejsza dyskomfort mięśn.-szkielet.stawów - - 75 ml,BÓL-STAWY
Artresan Kapsaicyna Maść w sztyfcie - - 25 ml,BÓL-STAWY
ARTROBAZA SOS Żel chłodzący - - 40 g,BÓL-STAWY
Artrożel - - 100 ml,BÓL-STAWY
ASTRON Olej żywokostowy z gojnikiem 100ml,BÓL-STAWY
AulinDol żel 30 mg/g 100 g (tub.),BÓL-STAWY
AulinDol żel 30 mg/g 50 g (tub.),BÓL-STAWY
"Bals Sulphur żel żel 96,5 g/100g 300 g",BÓL-STAWY
Balsam Koński rozgrzewający - - 500 ml,BÓL-STAWY
Balsam Kręgowy Ojca Grzegorza zioł. - - 100 g,BÓL-STAWY
Balsam Papaveri maść - 250 ml,BÓL-STAWY
"Balsam Świątynia Niebios - - 3,5 g",BÓL-STAWY
Balsam Świątynia Niebios maść - 19 g,BÓL-STAWY
Balsam z arniki d/piel.skóry - - 250 ml,BÓL-STAWY
Balsam z czosnkiem niedźwiedzim - - 200 ml,BÓL-STAWY
Balsam z Sadła Świstaka - - 50 ml,BÓL-STAWY
Balsam z Sadła Świstaka Alpenbalm - - 60 g,BÓL-STAWY
Balsam z Sadła Świstaka Alpenbalm Termoterapia - - 60 g,BÓL-STAWY
BALSAM Z WYCIĄGIEM Z KASZTANOWCA I LIŚCI CZERW.WINOGR.HERBAMEDICUS - - 250 ml,BÓL-STAWY
Balsam z wyciągiem z korzenia diabelskiego pazura - - 250 ml,BÓL-STAWY
Balsamum Mentholi Compositum maść (200mg+25mg)/g 30 g,BÓL-STAWY
Bengay Maść Przeciwbólowa - (150mg+100mg)/g 50 g,BÓL-STAWY
Biofreeze Żel - - 1 tub.,BÓL-STAWY
BIOFROST RELIEF żel - 100 ml,BÓL-STAWY
BIOMAŚĆ ARNIKA maść - 50 ml,BÓL-STAWY
BIOMAŚĆ CZARCI PAZUR - - 50 ml,BÓL-STAWY
BIOMAŚĆ NAGIETEK maść - 50 ml,BÓL-STAWY
BISZOLIN Balsam mineralny z biszofitem - - 100 g,BÓL-STAWY
